iter	Passed	Remaining
398	143050	215471
399	143395	215093
400	143743	214718
401	144092	214347
402	144450	213987
403	144833	213665
404	145224	213354
405	145575	212985
406	145919	212605
407	146265	212227
408	146610	211850
409	146952	211468
410	147308	211106
411	147660	210738
412	148016	210376
413	148381	210027
414	148764	209703
415	149122	209345
416	149485	208992
417	149857	208653
418	150257	208352
419	150659	208053
420	151071	207768
421	151460	207450
422	151852	207137
423	152220	206790
424	152595	206452
425	152967	206111
426	153332	205759
427	153687	205395
428	154048	205038
429	154423	204700
430	154795	204358
431	155167	204016
432	155540	203675
433	155907	203326
434	156261	202960
435	156616	202595
436	156976	202237
437	157352	201900
438	157694	201518
439	158039	201141
440	158385	200765
441	158734	200393
442	159097	200038
443	159468	199694
444	159834	199344
445	160208	199002
446	160551	198624
447	160917	198272
448	161266	197902
449	161632	197550
450	161980	197178
451	162371	196857
452	162719	196484
453	163063	196107
454	163410	195733
455	163759	195361
456	164107	194989
457	164451	194613
458	164813	194256
459	165163	193887
460	165508	193512
461	165902	193194
462	166284	192861
463	166667	192529
464	167043	192189
465	167411	191840
466	167769	191479
467	168137	191131
468	168527	190806
469	168890	190451
470	169241	190082
471	169595	189717
472	169959	189362
473	170334	189020
474	170690	188657
475	171062	188312
476	171438	187971
477	171783	187595
478	172137	187230
479	172516	186893
480	172870	186527
481	173225	186163
482	173578	185796
483	173930	185429
484	174278	185059
485	174643	184705
486	175002	184345
487	175391	184017
488	175753	183660
489	176100	183288
490	176445	182914
491	176790	182539
492	177141	182171
493	177490	181802
494	177854	181447
495	178242	181117
496	178627	180784
497	178996	180434
498	179355	180074
499	179713	179713
500	180083	179364
501	180433	178995
502	180822	178665
503	181219	178342
504	181599	178003
505	181966	177651
506	182332	177297
507	182684	176930
508	183041	176568
509	183422	176229
510	183791	175878
511	184135	175503
512	184479	175129
513	184849	174780
514	185202	174414
515	185563	174055
516	185925	173698
517	186278	173332
518	186633	172968
519	187033	172646
520	187418	172310
521	187784	171956
522	188145	171597
523	188509	171241
524	188878	170890
525	189236	170528
526	189605	170177
527	189966	169818
528	190335	169467
529	190688	169101
530	191047	168741
531	191406	168379
532	191782	168034
533	192195	167721
534	192564	167369
535	192935	167018
536	193308	166669
537	193687	166326
538	194053	165971
539	194402	165601
540	194759	165239
541	195117	164877
542	195474	164515
543	195856	164173
544	196245	163838
545	196620	163490
546	196975	163125
547	197350	162778
548	197697	162406
549	198072	162059
550	198447	161710
551	198801	161346
552	199154	160980
553	199514	160620
554	199910	160288
555	200291	159944
556	200637	159573
557	200987	159205
558	201332	158833
559	201714	158489
560	202069	158125
561	202419	157757
562	202791	157406
563	203155	157049
564	203531	156701
565	203887	156337
566	204260	155987
567	204615	155623
568	204990	155274
569	205359	154920
570	205713	154554
571	206064	154188
572	206415	153820
573	206764	153452
574	207109	153080
575	207463	152716
576	207822	152355
577	208170	151986
578	208523	151620
579	208890	151265
580	209246	150902
581	209633	150561
582	210010	150213
583	210378	149858
584	210769	149520
585	211157	149179
