iter	MultiClass
0	2.005705503
1	1.951232932
2	1.910217661
3	1.875199578
4	1.846481019
5	1.821912699
6	1.797163699
7	1.777680635
8	1.759442338
9	1.742803782
10	1.730207462
11	1.71849106
12	1.707565171
13	1.697791689
14	1.689109687
15	1.680388003
16	1.673049944
17	1.666095463
18	1.660481019
19	1.654083089
20	1.648257212
21	1.642916413
22	1.637303275
23	1.632673701
24	1.628450559
25	1.624512927
26	1.620172156
27	1.615232437
28	1.61150026
29	1.608229972
30	1.605234937
31	1.602074378
32	1.598951879
33	1.595713673
34	1.592707369
35	1.589777115
36	1.587447762
37	1.584687796
38	1.582255157
39	1.579212131
40	1.576557475
41	1.57425991
42	1.572252064
43	1.569168441
44	1.566502467
45	1.564335463
46	1.562177757
47	1.56031717
48	1.558160784
49	1.556063372
50	1.554358635
51	1.551761288
52	1.550187623
53	1.548385572
54	1.54700876
55	1.545532867
56	1.544057987
57	1.542516855
58	1.541043337
59	1.539385801
60	1.537842237
61	1.536055742
62	1.534732602
63	1.533478693
64	1.53181876
65	1.530452906
66	1.528983378
67	1.52757332
68	1.525815033
69	1.524384782
70	1.52225618
71	1.520811361
72	1.519300175
73	1.517741519
74	1.51656992
75	1.515130818
76	1.514059436
77	1.512972488
78	1.511070883
79	1.509081233
80	1.50791205
81	1.506694353
82	1.505004088
83	1.503699429
84	1.502559908
85	1.501187788
86	1.499798132
87	1.498628576
88	1.497320872
89	1.496333045
90	1.495044148
91	1.494102859
92	1.492593497
93	1.491505255
94	1.490373399
95	1.48906336
96	1.488133989
97	1.487007385
98	1.485881918
99	1.484062784
100	1.482510981
101	1.480924119
102	1.47952809
103	1.478219739
104	1.476912069
105	1.475732459
106	1.474151246
107	1.473101129
108	1.472075529
109	1.470930898
110	1.469826603
111	1.468522062
112	1.46745603
113	1.466402666
114	1.465373902
115	1.464116098
116	1.463016235
117	1.461917799
118	1.460699898
119	1.459584339
120	1.458448108
121	1.45745589
122	1.45652069
123	1.455530677
124	1.454304636
125	1.453174142
126	1.452170921
127	1.450645393
128	1.449726023
129	1.448760618
130	1.447655668
131	1.446633436
132	1.445534063
133	1.444548901
134	1.443368366
135	1.442252557
136	1.441411482
137	1.440463497
138	1.439383628
139	1.438413816
140	1.437374274
141	1.43642708
142	1.435140579
143	1.43418095
144	1.433382836
145	1.432052514
146	1.430911398
147	1.429912274
148	1.428882096
149	1.428030445
150	1.427109887
151	1.426271335
152	1.425150875
153	1.424323459
154	1.423468202
155	1.422417353
156	1.421358361
157	1.420621871
158	1.419750621
159	1.418794812
160	1.417669268
161	1.416893861
162	1.416108994
163	1.415156794
164	1.41445506
165	1.413315163
166	1.412598042
167	1.411787842
168	1.410627618
169	1.409785271
170	1.409083432
171	1.408011784
172	1.407237911
173	1.40586342
174	1.40500581
175	1.404255523
176	1.403568822
177	1.402910234
178	1.402211362
179	1.401435993
180	1.400691693
181	1.399948748
182	1.399141836
183	1.398500155
184	1.397798983
185	1.397057206
186	1.396424415
187	1.395735327
188	1.394915941
189	1.394051303
190	1.393371782
191	1.392402942
192	1.391708255
193	1.390866544
194	1.390143372
195	1.389522317
196	1.388883847
197	1.388181833
198	1.387455624
199	1.386790678
200	1.385407788
201	1.384743141
202	1.383980908
203	1.383413757
204	1.382948051
205	1.382277964
206	1.381490548
207	1.380785782
208	1.379798406
209	1.379311078
210	1.378580683
211	1.377918602
212	1.376877145
213	1.376268016
214	1.375642621
215	1.374969925
216	1.373907857
217	1.373296513
218	1.372434845
219	1.371688709
220	1.37100372
221	1.370272387
222	1.369553615
223	1.368775091
224	1.367487631
225	1.366973241
226	1.366218239
227	1.365661416
228	1.365186965
229	1.364644297
230	1.364092386
231	1.363604053
232	1.362822894
233	1.362285952
234	1.361598734
235	1.36086022
236	1.360270375
237	1.359541897
238	1.359047456
239	1.358325863
240	1.357742039
241	1.35707889
242	1.356514144
243	1.355882607
244	1.355308592
245	1.354844279
246	1.354356612
247	1.353802562
248	1.353174839
249	1.352700619
250	1.352127612
251	1.351580172
252	1.350970533
253	1.350513123
254	1.349910257
255	1.349492264
256	1.348649534
257	1.348105287
258	1.347628058
259	1.347156809
260	1.346829417
261	1.346240772
262	1.345703401
263	1.345183486
264	1.344565437
265	1.344066691
266	1.343551786
267	1.343176559
268	1.342805017
269	1.342323467
270	1.342012564
271	1.34157271
272	1.341058555
273	1.340430024
274	1.339950286
275	1.33921686
276	1.338732945
277	1.33820594
278	1.337855136
279	1.337370162
280	1.336656417
281	1.336291794
282	1.33578613
283	1.335394527
284	1.334925124
285	1.334514042
286	1.3338909
287	1.333345623
288	1.332892646
289	1.332378054
290	1.331964038
291	1.331238059
292	1.330840073
293	1.330428144
294	1.329767358
295	1.329275688
296	1.32854304
297	1.328066851
298	1.327608468
299	1.326934036
300	1.326455915
301	1.325797964
302	1.32541502
303	1.325123373
304	1.324699077
305	1.324364737
306	1.324028063
307	1.32355402
308	1.323174887
309	1.322654884
310	1.322302421
311	1.321833403
312	1.321208116
313	1.320775446
314	1.320390864
315	1.320072684
316	1.319650068
317	1.319067606
318	1.318597784
319	1.318086606
320	1.317774159
321	1.317384377
322	1.316816742
323	1.316452322
324	1.31618181
325	1.315951651
326	1.315581457
327	1.315283654
328	1.314937083
329	1.314576453
330	1.314072391
331	1.313626337
332	1.313152988
333	1.312749924
334	1.31233706
335	1.311971942
336	1.311679271
337	1.311352668
338	1.310973915
339	1.310717325
340	1.310267231
341	1.309809894
342	1.309307414
343	1.309040509
344	1.308203884
345	1.307834015
346	1.307419958
347	1.307180212
348	1.306726691
349	1.306358173
350	1.305979842
351	1.305597918
352	1.305141263
353	1.304748644
354	1.304307728
355	1.303947634
356	1.303573102
357	1.303107471
358	1.302763031
359	1.302399043
360	1.301897685
361	1.30162066
362	1.301264986
363	1.30078372
364	1.300615511
365	1.300315941
366	1.299964733
367	1.299573018
368	1.299159408
369	1.298886033
370	1.298389576
371	1.298016362
372	1.297758227
373	1.297511692
374	1.297025205
375	1.296616128
376	1.296269648
377	1.295959789
378	1.295556267
379	1.295196179
380	1.294795451
381	1.294525087
382	1.293858307
383	1.293564098
384	1.293233166
385	1.29284407
386	1.292433377
387	1.292115716
388	1.291677562
389	1.291347545
390	1.290949107
391	1.29054978
392	1.290274439
393	1.289841855
394	1.28925194
395	1.288825446
396	1.288463518
397	1.288134997
398	1.287766704
399	1.287538928
400	1.287306016
401	1.287075347
402	1.286705264
403	1.286425221
404	1.286226899
405	1.28582264
406	1.285479464
407	1.28525812
408	1.284926849
409	1.284688883
410	1.284293608
411	1.284038374
412	1.283693644
413	1.283429128
414	1.283189889
415	1.282656974
416	1.282329997
417	1.282012435
418	1.281585163
419	1.281209572
420	1.280906031
421	1.280666568
422	1.280469225
423	1.28029579
424	1.279934573
425	1.27958266
426	1.27938078
427	1.27895804
428	1.278708009
429	1.278221538
430	1.27788478
431	1.277520911
432	1.277107923
433	1.276820453
434	1.276473225
435	1.27602084
436	1.275758723
437	1.275385949
438	1.275150595
439	1.274859263
440	1.274431812
441	1.274087425
442	1.273795484
443	1.27347248
444	1.273129202
445	1.272938887
446	1.272626506
447	1.272303239
448	1.271915806
449	1.271694747
450	1.271202452
451	1.270841036
452	1.270545854
453	1.270257973
454	1.269938751
455	1.26975894
456	1.269485424
457	1.269292092
458	1.269009558
459	1.268739562
460	1.268549694
461	1.268258504
462	1.26775671
463	1.26747244
464	1.267156392
465	1.266883511
466	1.266652517
467	1.266191298
468	1.265923091
469	1.265715753
470	1.265463396
471	1.265121768
472	1.26483245
473	1.264491814
474	1.26403853
475	1.263820174
476	1.263656563
477	1.263464314
478	1.263295418
479	1.263044237
480	1.26276344
481	1.262374589
482	1.262159053
483	1.261920141
484	1.26166477
485	1.261495335
486	1.261193765
487	1.260996177
488	1.260753211
489	1.260432328
490	1.260048152
491	1.259807515
492	1.259505615
493	1.259286732
494	1.259035069
495	1.258903274
496	1.258642252
497	1.258272476
498	1.258025646
499	1.257855991
500	1.25759325
501	1.257372199
502	1.257119763
503	1.256953961
504	1.256790315
505	1.256514439
506	1.256332617
507	1.256023091
508	1.255800061
509	1.255393749
510	1.255089567
511	1.254783576
512	1.254573306
513	1.254300661
514	1.254070964
515	1.253698961
516	1.253457627
517	1.253099421
518	1.252866585
519	1.252615084
520	1.25247024
521	1.25219953
522	1.251985937
523	1.251684445
524	1.25150337
525	1.251304491
526	1.250902757
527	1.250648999
528	1.250402966
529	1.250130875
530	1.249926207
531	1.249659507
532	1.249468068
533	1.249283757
534	1.249046081
535	1.248898541
536	1.248573864
537	1.248414429
538	1.24827347
539	1.248067193
540	1.247897736
541	1.247852587
542	1.247692891
543	1.247358937
544	1.247147856
545	1.246823949
546	1.246592108
547	1.246294252
548	1.246122273
549	1.246024764
550	1.245737196
551	1.245488961
552	1.24532684
553	1.245112492
554	1.244931992
555	1.244560233
556	1.244354665
557	1.24399464
558	1.243750889
559	1.243586522
560	1.24339559
561	1.243077592
562	1.242961366
563	1.242639019
564	1.242428426
565	1.242030813
566	1.241742739
567	1.241497933
568	1.241254583
569	1.240947813
570	1.240621857
571	1.240455461
572	1.240334782
573	1.240216673
574	1.240012739
575	1.23980339
576	1.23968272
577	1.239518147
578	1.239317502
579	1.23905438
580	1.238825454
581	1.238665562
582	1.238515587
583	1.238280435
584	1.237956244
585	1.237701392
586	1.237257749
587	1.237062092
588	1.236765907
589	1.236509073
590	1.236356789
591	1.236140347
592	1.235821524
593	1.235669252
594	1.235568243
595	1.235406202
596	1.235064911
597	1.234878728
598	1.234618705
599	1.234475933
600	1.23425998
601	1.234144463
602	1.233950298
603	1.233635993
604	1.233529596
605	1.233358612
606	1.232941853
607	1.232760382
608	1.232663445
609	1.232408071
610	1.232136973
611	1.231889465
612	1.231691928
613	1.231512188
614	1.231390177
615	1.23122447
616	1.230836446
617	1.230548101
618	1.230278262
619	1.230092543
620	1.229799467
621	1.229644335
622	1.229482798
623	1.229222951
624	1.229035242
625	1.228805711
626	1.228611833
627	1.228363789
628	1.228267505
629	1.22813808
630	1.227836558
631	1.227704927
632	1.227502159
633	1.227277137
634	1.22705649
635	1.226919189
636	1.226757176
637	1.226655858
638	1.226562941
639	1.226332451
640	1.225923289
641	1.225745016
642	1.225535616
643	1.225440902
644	1.225309535
645	1.225144574
646	1.224939409
647	1.224738401
648	1.224400242
649	1.224176104
650	1.223980478
651	1.223755026
652	1.223543657
653	1.22336517
654	1.223151644
655	1.223029095
656	1.222812498
657	1.22257384
658	1.222370408
659	1.222202896
660	1.222041582
